price,rating,Dual_Sim,4G,5G,Vo5G,NFC,IR_Blaster,Core_Count,Clock_Speed_GHz,Performance_Tier,RAM Size GB,Storage Size GB,RAM Tier,battery_capacity,fast_charging_power,Screen_Size,Resolution_Width,Resolution_Height,Refresh_Rate,primary_rear_camera_mp,num_rear_cameras,primary_front_camera_mp,num_front_cameras,memory_card_support,memory_card_size,os_version,brand_Asus,brand_Blackview,brand_Blackzone,brand_Blu,brand_Cat,brand_Cola,brand_Dizo,brand_Doogee,brand_Duoqin,brand_Eunity,brand_Gionee,brand_Google,brand_Honor,brand_Huawei,brand_Ikall,brand_Infinix,brand_Iqoo,brand_Itel,brand_Jio,brand_Karbonn,brand_Lava,brand_Leeco,brand_Leitz,brand_Lenovo,brand_Letv,brand_Lg,brand_Lyf,brand_Micromax,brand_Motorola,brand_Motorola Edge,brand_Namotel,brand_Nokia,brand_Nothing,brand_Nubia,brand_Oneplus,brand_Oppo,brand_Oukitel,brand_Poco,brand_Realme,brand_Realme Narzo,brand_Redmi,brand_Royole,brand_Samsung,brand_Sharp,brand_Sony,brand_Tcl,brand_Tecno,brand_Tesla,brand_Vertu,brand_Vivo,brand_Xiaomi,brand_Xtouch,brand_Zanco,brand_Zte,Processor_Brand_Dimensity,Processor_Brand_Exynos,Processor_Brand_Google Tensor,Processor_Brand_Helio,Processor_Brand_Kirin,Processor_Brand_Other,Processor_Brand_Snapdragon,Processor_Brand_Unisoc,os_name_EMUI,os_name_HarmonyOS,os_name_KAI OS,os_name_Pragati OS,os_name_RTOS,os_name_iOS,Notch_Type_Large Notch,Notch_Type_No Notch,Notch_Type_Punch Hole,Notch_Type_Small Notch,Notch_Type_Unknown,Notch_Type_Water Drop Notch
1,83.0,1,1,1,0,1,0,8.0,2.4,3,8.0,128.0,3,5000.0,67,6.7,1080.0,2412.0,120.0,108.0,1.0,32.0,1.0,1,1024.0,12.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
1,89.0,1,1,1,0,1,0,8.0,2.4,4,8.0,256.0,3,5000.0,30,6.1,1080.0,2520.0,120.0,12.0,3.0,12.0,1.0,1,1024.0,12.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
1,80.0,1,1,1,0,1,0,8.0,3.2,4,12.0,256.0,4,4520.0,67,7.1,1792.0,1920.0,120.0,50.0,0.0,16.0,0.0,1,1024.0,12.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
0,61.0,1,1,0,0,0,0,8.0,2.3,0,2.0,32.0,1,5000.0,0,6.51,720.0,1600.0,60.0,8.0,1.0,5.0,1.0,1,1024.0,11.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1,87.0,1,1,1,0,1,0,8.0,2.9,0,8.0,128.0,3,4500.0,25,6.4,1080.0,2340.0,120.0,12.0,3.0,32.0,1.0,0,1024.0,11.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1,89.0,1,1,1,0,1,0,8.0,2.4,4,8.0,128.0,3,5000.0,65,6.8,1116.0,2480.0,120.0,64.0,3.0,16.0,1.0,1,1024.0,12.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
0,80.0,1,1,0,0,0,0,4.0,2.4,0,4.0,32.0,2,4000.0,0,6.54,720.0,1560.0,60.0,8.0,1.0,5.0,1.0,1,1024.0,12.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0,74.0,1,1,1,0,0,0,8.0,2.2,0,6.0,128.0,2,5000.0,0,6.5,720.0,1600.0,60.0,13.0,3.0,8.0,1.0,1,1024.0,11.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,80.0,1,1,0,0,0,0,4.0,1.4,0,1.0,8.0,1,2400.0,0,5.0,854.0,480.0,60.0,5.0,1.0,2.0,1.0,1,1024.0,12.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1,88.0,1,1,1,0,0,0,8.0,2.6,0,12.0,256.0,4,22000.0,33,6.58,1080.0,2408.0,120.0,108.0,3.0,32.0,1.0,1,2048.0,12.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,74.0,1,1,0,0,0,0,8.0,2.4,0,6.0,64.0,2,5000.0,18,6.53,1080.0,2340.0,60.0,16.0,3.0,16.0,1.0,1,256.0,9.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
1,84.0,1,1,1,0,1,0,8.0,2.9,4,8.0,128.0,3,5050.0,30,6.8,1080.0,2400.0,165.0,64.0,3.0,8.0,1.0,1,1024.0,12.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
0,77.0,1,1,0,0,0,1,8.0,2.4,0,6.0,128.0,2,6000.0,18,6.5,1080.0,2400.0,90.0,50.0,1.0,8.0,1.0,1,512.0,11.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
0,75.0,1,1,0,0,0,0,8.0,2.4,0,4.0,64.0,2,5000.0,33,6.6,1080.0,2412.0,90.0,50.0,3.0,16.0,1.0,1,1024.0,11.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
0,81.0,1,1,0,0,0,1,8.0,2.05,0,8.0,128.0,3,5000.0,33,6.43,1080.0,2400.0,90.0,64.0,3.0,16.0,1.0,1,1024.0,11.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
0,89.0,1,1,1,0,1,1,8.0,2.6,0,8.0,256.0,3,4300.0,120,6.67,1080.0,2400.0,120.0,200.0,3.0,16.0,1.0,1,512.0,12.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1,80.0,1,1,1,0,1,0,8.0,2.84,0,12.0,256.0,4,4500.0,65,6.7,1440.0,3216.0,120.0,50.0,1.0,32.0,1.0,1,1024.0,12.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
0,80.0,1,1,0,0,0,0,4.0,1.4,1,3.0,16.0,1,3360.0,0,6.0,720.0,1440.0,60.0,13.0,1.0,5.0,1.0,1,1024.0,8.1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
0,80.0,1,1,0,0,0,0,8.0,1.6,0,2.0,32.0,1,5000.0,18,6.6,1612.0,720.0,60.0,8.0,2.0,5.0,1.0,1,128.0,11.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
0,74.0,1,1,0,0,0,1,8.0,2.4,0,4.0,64.0,2,6000.0,18,6.5,1080.0,2400.0,90.0,50.0,1.0,8.0,1.0,1,512.0,11.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
0,82.0,1,1,0,0,0,1,8.0,2.3,0,6.0,128.0,2,5020.0,33,6.67,1080.0,2400.0,120.0,108.0,1.0,16.0,1.0,1,512.0,11.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
0,75.0,1,1,0,0,1,0,8.0,2.4,0,4.0,128.0,2,5000.0,18,6.8,1080.0,2460.0,90.0,48.0,3.0,16.0,1.0,1,1024.0,12.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1,87.0,1,1,1,0,1,0,8.0,2.5,3,12.0,256.0,4,4500.0,33,6.55,1080.0,2400.0,120.0,50.0,2.0,16.0,1.0,1,1024.0,12.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
1,88.0,0,1,1,0,1,0,8.0,3.2,4,8.0,256.0,3,4300.0,44,6.8,1080.0,2520.0,120.0,50.0,0.0,16.0,0.0,1,1024.0,12.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
0,80.0,1,1,0,0,0,0,4.0,1.3,0,1.0,16.0,1,4000.0,0,6.0,720.0,1600.0,60.0,8.0,1.0,5.0,1.0,1,32.0,9.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0,73.0,1,1,1,0,1,0,8.0,2.2,0,4.0,64.0,2,5000.0,15,6.5,720.0,1600.0,90.0,50.0,3.0,5.0,1.0,1,1024.0,11.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,80.0,1,1,1,0,0,0,8.0,2.4,0,8.0,128.0,3,6000.0,44,6.58,1080.0,2408.0,120.0,50.0,2.0,16.0,1.0,1,1024.0,12.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,75.0,1,1,0,0,0,1,8.0,2.4,1,4.0,64.0,2,5020.0,5,6.53,1080.0,2340.0,60.0,48.0,1.0,13.0,1.0,1,512.0,10.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
0,74.0,1,1,0,0,0,0,8.0,2.4,0,4.0,64.0,2,7000.0,33,6.95,1080.0,2460.0,90.0,50.0,3.0,8.0,1.0,1,256.0,11.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
0,82.0,1,1,1,0,0,0,8.0,2.6,0,6.0,128.0,2,5000.0,67,6.7,1080.0,2412.0,120.0,108.0,3.0,16.0,1.0,0,1024.0,13.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1,86.0,1,1,1,0,1,0,8.0,2.36,3,8.0,128.0,3,4200.0,67,6.5,1080.0,2412.0,144.0,50.0,3.0,32.0,1.0,1,1024.0,12.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
1,86.0,1,1,1,0,1,1,8.0,2.4,0,8.0,128.0,3,4700.0,120,6.67,1080.0,2400.0,120.0,64.0,3.0,20.0,1.0,0,1024.0,12.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
1,76.0,1,1,1,0,1,0,6.0,3.1,0,4.0,256.0,2,5000.0,0,6.58,1080.0,2400.0,90.0,50.0,0.0,16.0,0.0,1,1024.0,12.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0,75.0,1,1,0,0,0,1,8.0,2.2,2,4.0,64.0,2,5000.0,33,6.67,1080.0,2400.0,120.0,48.0,3.0,13.0,1.0,1,1024.0,13.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
0,80.0,1,1,0,0,0,0,8.0,1.6,0,2.0,16.0,1,3000.0,0,5.45,720.0,1440.0,60.0,5.0,1.0,5.0,1.0,1,256.0,11.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
0,77.0,1,1,1,0,1,0,8.0,2.2,0,4.0,128.0,2,5000.0,18,6.58,1080.0,2408.0,60.0,50.0,3.0,8.0,1.0,1,1024.0,11.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,65.0,1,1,0,0,0,0,8.0,1.82,0,4.0,64.0,2,5000.0,0,6.52,720.0,1600.0,60.0,13.0,3.0,5.0,1.0,1,1024.0,12.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1,83.0,1,1,0,0,1,0,8.0,2.7,0,6.0,128.0,2,4500.0,25,6.7,1080.0,2400.0,60.0,12.0,3.0,32.0,1.0,1,1024.0,10.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1,80.0,1,1,1,0,1,0,8.0,2.4,4,12.0,256.0,4,4600.0,66,8.03,1916.0,2160.0,120.0,50.0,0.0,16.0,0.0,1,1024.0,12.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
0,70.0,1,1,0,0,0,0,8.0,2.4,0,4.0,128.0,2,3315.0,0,6.3,1080.0,2280.0,60.0,16.0,2.0,25.0,1.0,1,256.0,8.1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0,80.0,1,1,1,0,0,0,8.0,2.36,0,6.0,128.0,2,5000.0,67,6.62,1080.0,2412.0,144.0,50.0,3.0,16.0,1.0,1,1024.0,12.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
0,80.0,0,0,0,0,0,0,8.0,2.4,0,0.0,0.0,1,800.0,0,1.77,120.0,160.0,60.0,50.0,0.0,16.0,0.0,1,1024.0,12.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0,79.0,1,1,1,0,0,1,8.0,2.4,0,6.0,64.0,2,5000.0,33,6.6,1080.0,2400.0,90.0,50.0,2.0,16.0,1.0,1,1024.0,11.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
0,62.0,1,1,0,0,0,0,8.0,1.82,0,3.0,32.0,1,5000.0,0,6.52,720.0,1600.0,60.0,13.0,3.0,5.0,1.0,1,1024.0,11.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,64.0,1,1,0,0,0,0,8.0,1.8,1,3.0,32.0,1,5000.0,0,6.5,720.0,1600.0,60.0,50.0,2.0,5.0,1.0,1,1024.0,12.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
0,83.0,1,1,1,0,0,0,8.0,2.2,0,8.0,256.0,3,4700.0,67,6.56,1080.0,2400.0,120.0,64.0,3.0,50.0,1.0,1,1024.0,13.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
0,69.0,1,1,0,0,0,0,8.0,2.4,0,3.0,64.0,1,5000.0,18,6.51,720.0,1600.0,60.0,13.0,2.0,8.0,1.0,1,1024.0,12.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
0,77.0,1,1,0,0,0,1,8.0,2.3,3,4.0,128.0,2,5020.0,18,6.67,1080.0,2400.0,60.0,48.0,1.0,16.0,1.0,1,512.0,10.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
0,76.0,1,1,0,0,0,0,8.0,2.4,2,8.0,128.0,3,5000.0,33,6.56,720.0,1600.0,90.0,50.0,2.0,8.0,1.0,1,1024.0,12.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
0,82.0,1,1,1,0,0,1,8.0,2.2,2,6.0,128.0,2,5000.0,67,6.67,1080.0,2400.0,120.0,64.0,3.0,16.0,1.0,1,1024.0,11.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
1,76.0,1,1,1,0,1,0,6.0,2.4,0,6.0,128.0,2,4323.0,0,6.7,1290.0,2796.0,120.0,48.0,3.0,12.0,1.0,0,1024.0,16.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
1,86.0,1,1,1,0,1,0,8.0,3.2,4,8.0,128.0,3,5000.0,100,6.7,1080.0,2412.0,120.0,50.0,2.0,16.0,1.0,1,1024.0,12.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
1,80.0,1,1,1,0,1,0,8.0,2.4,0,12.0,256.0,4,5000.0,80,6.7,1440.0,3216.0,120.0,50.0,3.0,32.0,1.0,1,1024.0,12.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
1,80.0,1,1,1,0,1,0,8.0,2.4,4,12.0,512.0,4,5000.0,30,6.5,1644.0,3840.0,120.0,12.0,1.0,12.0,1.0,1,1024.0,12.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
0,76.0,1,1,0,0,0,0,8.0,2.4,0,6.0,128.0,2,4000.0,5,6.7,1080.0,2388.0,90.0,64.0,1.0,16.0,1.0,1,1024.0,12.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
